epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1597.03,2.64627,3.04402,2.46628,0.40807,0.15702,0.10721,0.05129,2.01452,2.0179,1.61535,0.000237853,0.000237853,0.000237853
2,5901.87,2.00722,2.00956,1.54148,0.35759,0.18729,0.14057,0.07705,1.90575,1.85186,1.44398,0.000452298,0.000452298,0.000452298
3,10194.8,1.8885,1.83751,1.42657,0.241,0.21992,0.1796,0.0981,1.7607,1.65286,1.36535,0.000643181,0.000643181,0.000643181
4,14832.9,1.84121,1.74647,1.37252,0.28425,0.2341,0.20096,0.11117,1.70402,1.60786,1.31634,0.000607971,0.000607971,0.000607971
5,17521.4,1.80131,1.68224,1.3335,0.28593,0.26537,0.22722,0.12557,1.70496,1.55515,1.29331,0.000572628,0.000572628,0.000572628
6,22271.3,1.77559,1.63844,1.30379,0.30193,0.27887,0.23304,0.13216,1.68529,1.52085,1.26759,0.000537285,0.000537285,0.000537285
7,27165.6,1.74581,1.59593,1.28108,0.33822,0.28513,0.25665,0.14687,1.65879,1.49887,1.25671,0.000501942,0.000501942,0.000501942
8,30281.5,1.74434,1.57418,1.26536,0.35239,0.3007,0.27374,0.15711,1.63139,1.46353,1.23473,0.000466599,0.000466599,0.000466599
9,34290.9,1.73019,1.54716,1.2528,0.35087,0.29464,0.27594,0.15841,1.632,1.44522,1.23154,0.000431256,0.000431256,0.000431256
10,38976.7,1.71672,1.51512,1.24206,0.36867,0.30617,0.28963,0.16684,1.61532,1.41933,1.21906,0.000395913,0.000395913,0.000395913
11,40902.8,1.6691,1.49109,1.2312,0.36475,0.3013,0.28846,0.16561,1.61,1.41414,1.21306,0.00036057,0.00036057,0.00036057
12,41762,1.66172,1.4579,1.22187,0.37266,0.30655,0.29199,0.1682,1.60731,1.40021,1.20697,0.000325227,0.000325227,0.000325227
13,43780.8,1.64588,1.43374,1.21736,0.3712,0.31344,0.29748,0.17035,1.59219,1.37925,1.20067,0.000289884,0.000289884,0.000289884
14,47248.8,1.63623,1.41326,1.21005,0.3723,0.32225,0.2981,0.17155,1.58448,1.37407,1.19834,0.000254541,0.000254541,0.000254541
15,47978.3,1.6252,1.39345,1.20429,0.3891,0.31793,0.30656,0.17743,1.58464,1.35786,1.19509,0.000219198,0.000219198,0.000219198
16,48850.1,1.61298,1.37296,1.19639,0.39769,0.32209,0.30987,0.18053,1.57345,1.35591,1.18551,0.000183855,0.000183855,0.000183855
17,52639.2,1.60963,1.36236,1.19243,0.4037,0.32371,0.3136,0.18158,1.58011,1.34148,1.18932,0.000148512,0.000148512,0.000148512
18,55415.8,1.60493,1.35297,1.18895,0.40212,0.32922,0.31555,0.18288,1.56769,1.33266,1.18455,0.000113169,0.000113169,0.000113169
19,58566.8,1.59256,1.33564,1.18496,0.41561,0.32651,0.32095,0.18724,1.56502,1.32501,1.1841,7.7826e-05,7.7826e-05,7.7826e-05
20,61679.9,1.58033,1.32453,1.18116,0.41563,0.33185,0.32315,0.18894,1.56161,1.32212,1.18023,4.2483e-05,4.2483e-05,4.2483e-05
